# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
Koz	khen		
Cge	chúc		
T52	thầu		
nSZ	non		
TbE	thuý		
D5z	dâu		
bas	bá		
tbo	tuỳ		
nGz	nai		
KCa	khuôn		
lez	le		
bvz	bia		
DUw	dữ		
hls	hiếm		
dGx	đãi		
zzz	ôm		
t95	tật		
lkf	làn		
tl0	tiêm		
Rt6	trông		
bhs	bốn		
ddR	điển		
l0X	lỗ		
gdx	gỡ		
kKS	kín		
Rn1	trứng		
fk1	phán		
mXf	mềm		
tu1	tú		
DDz	dâm		
DTf	dày		
Ty5	thập		
C1z	chăn		
bqS	bối		
Nnf	ngừng		
rer	rẻ		
Th9	thiểu		
y1s	nhắn		
yTr	nhảy		
DTe	dứt		
th3	tổn		
f71	phấn		
rpf	rào		
qSo	quỳnh		
gnS	góc		
tp1	táo		
ztS	ống		
mcj	mệt		
mSj	mạc		
DBj	dậy		
yWs	nhánh		
Cjj	chạm		
mqs	mát		
hUa	hư		
nPs	nét		
gkz	gan		
c2z	căng		
l0Z	lô		
KoZ	kho		
h1r	hẳn		
Tvo	thùng		
tC9	toả		
tl2	tiềm		
bRJ	bột		
TK0	thang		
dhf	đồn		
cky	cụm		
hzR	hỏng		
djz	đam		
hpr	hảo		
Kla	khuyên		
rzu	rửa		
KsS	khoán		
Rk2	tràn		
xm6	xinh		
tvA	tung		
vkz	van		
h0Z	hô		
Tu2	thù		
z7r	ẩn		
GEs	ghế		
T09	thổ		
raf	rà		
boS	bó		
tt6	tông		
Cex	chẽ		
bZs	bếp		
dps	đáo		
dBs	đấy		
RmC	trịnh		
DCJ	doạ		
tu5	tụ		
Tp1	tháo		
RUW	trữ		
lKx	lãng		
t01	tắm		
cGx	cãi		
xzA	xưa		
lce	lúa		
mRa	mưu		
tz0	tôm		
NrS	ngoái		
cWz	canh		
hze	hứa		
zGs	ái		
l3s	lắp		
Tg5	thạch		
s0s	sắm		
xUE	xứ		
RD2	trầm		
mlR	mỏi		
lsZ	loan		
btR	bổng		
cRy	cựu		
dmR	đỉnh		
b1s	bắn		
cGz	cai		
tk1	tán		
dca	đua		
TmC	thịnh		
xD0	xâm		
Tj3	thảm		
th1	tốn		
mdx	mỡ		
TUY	thự		
hTJ	hộp		
Rk0	tran		
zDr	ẩm		
TM1	thép		
tc7	tiếc		
tj0	tam		
z1e	yến		
Rp2	trào		
buf	bù		
Nsx	ngưỡng		
tk0	tan		
r2z	răng		
nKf	nàng		
ykx	nhãn		
KhS	khiếu		
h8R	hoảng		
mNj	mực		
j5s	giấu		
CqS	chối		
lrF	loài		
tK2	tàng		
ctS	cống		
Cci	chùa		
drf	đền		
ctR	cổng		
CRS	chốt		
hsZ	hoan		
lnJ	lọc		
hCR	hoả		
jsf	giường		
hDf	hầm		
mya	my		
cRJ	cột		
bfS	bốc		
CKS	chín		
dhJ	điệu		
d4s	đắt		
Tk0	than		
ThW	thuẫn		
roZ	ro		
dez	đe		
TW5	thạnh		
gxJ	gợi		
rju	rủi		
Tp6	thơm		
nlz	niêm		
vaz	va		
m5z	mâu		
vvw	vũng		
cur	củ		
Daj	dạ		
KtS	khống		
hhf	hồn		
Tl7	thói		
sqZ	sôi		
voz	ven		
lpe	lưới		
RC1	trích		
Tf1	tháp		
ckr	cản		
lKz	lang		
mgS	miếng		
c9s	cất		
l2j	lặng		
dfj	đạp		
dGJ	điệp		
dRS	đốt		
fa0	pha		
bpj	bạo		
voR	vỏ		
mDf	mầm		
Kva	khung		
c3s	cắp		
Td2	thờ		
RJ0	treo		
hre	huống		
Cnf	chừng		
zsZ	oan		
var	vả		
RoC	trọ		
ljx	lãm		
Tr9	thoải		
lVj	lệch		
zys	ấp		
lnz	lưng		
coZ	co		
bxZ	bơi		
zuz	u		
z7z	ân		
mWr	mảnh		
GMs	ghép		
Dkf	dàn		
l1J	lợn		
CGz	chai		
j6s	giấc		
cdf	cờ		
cDr	cẩm		
TcA	thua		
jfs	giáp		
xa3	xả		
dYe	đắk		
mme	muối		
Khu	khuẩn		
vTs	váy		
lDS	lít		
hhe	huấn		
Cvu	chủng		
Rq6	trôi		
sTz	say		
hJz	heo		
NNj	ngực		
hqS	hối		
mtz	mau		
vex	vẽ		
hDz	hâm		
Nzi	ngừa		
KbZ	khoe		
v9s	vất		
bzR	bỏng		
b3S	bớt		
ziz	i		
tQE	tuyết		
b7j	bận		
syS	sót		
bqs	bát		
fz9	phỏng		
btZ	bông		
bKz	bang		
thA	tuân		
loF	lò		
Cez	che		
Kqs	khát		
CHs	chém		
dDj	đậm		
bGj	bại		
tcC	tiệc		
yvJ	nhịp		
mYj	mệnh		
dtS	đống		
m1j	mặn		
s1z	săn		
bCs	bích		
doZ	đo		
mBz	mây		
mnS	móc		
xn1	xứng		
hzZ	hong		
vdX	viễn		
Cca	chua		
Ta3	thả		
ljz	lam		
der	đẻ		
cns	cứng		
sts	sáu		
mif	mì		
xC7	xoá		
v2s	vắng		
mkx	mãn		
Rh8	triều		
cRS	cốt		
suz	su		
jBz	giây		
yva	nhung		
CoS	chó		
tl5	tiệm		
RS8	tròn		
K5z	khâu		
l5j	lậu		
Cmw	chuỗi		
kjJ	kiệt		
bjs	bám		
ljj	lạm		
bQZ	bom		
bEz	bê		
R70	trân		
hRa	hưu		
vGr	vải		
R20	trăng		
dnj	đựng		
DnJ	dọc		
gWs	gánh		
coR	cỏ		
Tbo	thuỳ		
WdJ	nghiện		
vdr	vở		
dxs	đắc		
N0J	ngộ		
Re0	tre		
ndr	nở		
NGx	ngãi		
c7r	cẩn		
vix	vĩ		
lDf	lầm		
ta3	tả		
RgY	trục		
DSJ	dọn		
vqJ	vội		
TGC	thiệp		
dGz	đai		
RjC	triệt		
sfS	sốc		
llz	liêm		
mfy	mượn		
t41	tắt		
tu0	tu		
bgs	bách		
RlY	truyện		
Rt7	trống		
bSJ	bọn		
cus	cú		
fs5	phượng		
Dza	dưa		
NoX	ngõ		
tu3	tủ		
Dyj	dập		
mCy	muộn		
vxF	vời		
C7r	chẩn		
bJe	buýt		
hGy	huệ		
vuz	vu		
zKi	ùn		
tvY	tụng		
mPs	mét		
vKz	vang		
tdB	tiễn		
z2e	yết		
gSJ	gọn		
syj	sập		
nGj	nại		
QQz	chim		
hqZ	hôi		
fq9	phổi		
TbY	thuỵ		
x06	xô		
yKf	nhàng		
voj	vẹn		
vca	vua		
j7j	giận		
QQf	chìm		
yzy	nhựa		
Dsf	dường		
rKj	rạng		
NSJ	ngọn		
CmZ	chinh		
ldr	lở		
nEf	nề		
NDf	ngầm		
Rh5	trộn		
fp1	pháo		
l7z	lân		
ykz	nhan		
Ta0	tha		
y5j	nhậu		
ntF	nồng		
Td5	thợ		
fj0	pham		
RSC	trọn		
l2z	lăng		
TzA	thưa		
KQe	khuyết		
sWs	sánh		
m0s	mắm		
yDf	nhầm		
dkj	đạn		
CYz	chênh		
bTr	bảy		
lyJ	lọt		
KqZ	khôi		
xE6	xoay		
nuj	nụ		
hKz	hang		
tCC	toạ		
tg1	tách		
vss	vướng		
mce	múa		
biz	bi		
zez	e		
lpx	lão		
kif	kì		
goF	gò		
hiz	hi		
jTf	giày		
hMj	hẹp		
kPj	kẹt		
zfS	ốc		
zpr	ảo		
d3s	đắp		
DmS	dính		
nos	nén		
zSs	ác		
hdR	hiển		
bEf	bề		
ltF	lồng		
mfS	mốc		
mzS	móng		
mkj	mạn		
zNs	ức		
sme	suối		
zbe	uý		
lis	lí		
csx	cưỡng		
nss	nướng		
bjy	bụi		
KlS	khói		
dlS	đói		
Dix	dĩ		
klz	kiêm		
mrs	mến		
y1Z	nhơn		
tGY	tuệ		
muf	mù		
dJz	đeo		
K2S	khớp		
gTx	gãy		
vkj	vạn		
TWE	thước		
l7s	lấn		
Rx1	trắc		
rof	rèn		
xg1	xách		
ddF	điền		
mpj	mạo		
bpZ	bơm		
soz	sen		
fu0	phu		
K8S	khoáng		
jKF	gìn		
tk2	tàn		
yTj	nhạy		
ysj	nhượng		
y7x	nhẫn		
Cks	chán		
d1S	đớn		
lKj	lạng		
lJz	leo		
xa1	xá		
RK1	tráng		
nHs	ném		
Tr7	thoái		
ssJ	soạn		
nTr	nảy		
KEz	khê		
lqj	lạt		
lBz	lây		
Tho	thuần		
hoF	hò		
f95	phật		
bKf	bàng		
cQZ	com		
Ddx	dỡ		
DjJ	diệt		
rry	ruộng		
DhJ	diệu		
rfj	rạp		
fvo	phùng		
dvx	đĩa		
T06	thô		
Tx1	thắc		
tj1	tám		
RK2	tràng		
h0R	hổ		
q1A	quyên		
rPs	rét		
dWf	đành		
tK3	tảng		
TW1	thánh		
TbA	thuy		
yes	nhé		
lys	lấp		
vvr	vỉa		
m0F	mồ		
xa5	xạ		
lze	lứa		
vfa	vươn		
mTf	mày		
xi0	xi		
sxJ	sợi		
ydr	nhở		
bvi	bùng		
lhF	liều		
NQy	nguyệt		
tUE	tứ		
TS5	thạc		
skz	san		
bEs	bế		
ChZ	chiêu		
zjs	ám		
jkx	giãn		
DxF	dời		
moR	mỏ		
dkz	đan		
Dax	dã		
R50	trâu		
T87	thoáng		
z9Z	oanh		
sSZ	son		
TD0	thâm		
N0s	ngắm		
vmJ	vịnh		
zms	út		
lhZ	liêu		
D4s	dắt		
rhj	rộn		
zge	úc		
xs3	xưởng		
KtR	khổng		
KWz	khanh		
b7r	bẩn		
DtZ	dông		
nqs	nát		
NSj	ngạc		
bEr	bể		
KKz	khang		
kHz	kem		
bms	bút		
fG1	phái		
zhz	ôn		
bSS	bón		
rGx	rãi		
NsZ	ngoan		
lri	luồng		
ltZ	lông		
ta5	tạ		
rBx	rẫy		
lha	luân		
vys	vấp		
sqj	sạt		
h1s	hắn		
rur	rủ		
CNu	chửi		
mfJ	mộc		
zQz	im		
d2f	đằng		
sDz	sâm		
T89	thoảng		
nms	nút		
gjw	gũi		
nDs	nấm		
NDz	ngâm		
l0F	lồ		
bqJ	bội		
Dzi	dừa		
Cce	chúa		
cca	cua		
m2z	măng		
xd0	xơ		
qE1	quế		
cvu	củng		
zoZ	o		
q1E	quyến		
mux	mũ		
mKr	mảng		
Car	chả		
Npf	ngào		
tQ1	tím		
gQZ	gom		
zzs	ốm		
dDf	đầm		
KxZ	khơi		
b1z	băn		
moz	men		
vBz	vây		
dCj	địch		
KLZ	khoăn		
sRa	sưu		
hmj	hụt		
lYe	lắk		
b0F	bồ		
Ddr	dở		
bif	bì		
RtY	trượt		
dci	đùa		
Ngj	ngạch		
DfS	dốc		
yax	nhã		
ggj	gạch		
mkz	man		
mtZ	mông		
bGs	bái		
btX	bỗng		
slZ	soi		
mpi	mười		
KUe	khứ		
ssz	sương		
rux	rũ		
KJs	khéo		
Dhf	dồn		
LLj	lộn		
Dlx	diễm		
lzR	lỏng		
K9R	khoảnh		
z0R	ổ		
cdx	cỡ		
gqS	gối		
mWz	manh		
NxZ	ngơi		
cWe	cước		
bKe	bún		
hks	hán		
hSF	hòn		
chz	côn		
mKf	màng		
D8z	dâng		
zxZ	ơi		
h7j	hận		
mer	mẻ		
hdr	hở		
tRY	tựu		
Dpj	dạo		
NRJ	ngột		
hGS	hiếp		
hhx	hỗn		
lmS	lính		
T11	thắn		
T41	thắt		
Rko	trùm		
cTz	cay		
lbw	luỹ		
CWz	chanh		
djj	đạm		
dqF	đồi		
rWz	ranh		
xp0	xao		
tK5	tạng		
Csy	chuột		
bnJ	bọc		
zza	ưa		
h0S	hố		
TD2	thầm		
vlZ	voi		
cfS	cốc		
T51	thấu		
mnJ	mọc		
rEr	rể		
yqs	nhát		
NSS	ngón		
yif	nhì		
smj	sụt		
DkJ	dịu		
DKz	dang		
fd8	phiền		
rgj	rạch		
T22	thằng		
r1s	rắn		
lqZ	lôi		
rdx	rỡ		
g4s	gắt		
xt6	xông		
Goz	ghen		
tE0	tê		
hrJ	hoại		
dTe	đứt		
moF	mò		
b3s	bắp		
yis	nhí		
mdf	mờ		
Cli	chuyền		
Dcj	dệt		
hGx	hãi		
mas	má		
c0s	cắm		
nqF	nồi		
DqS	dối		
rGr	rải		
z3S	ớt		
hjz	ham		
Cef	chè		
cve	cúng		
fvY	phụng		
nhz	nôn		
xy7	xót		
NxJ	ngợi		
KrZ	khoai		
Cme	chuối		
vWf	vành		
h9F	hoành		
y4j	nhặt		
yix	nhĩ		
DoF	dò		
dks	đán		
cjs	cám		
Rg5	trạch		
naz	na		
lji	lùi		
CEz	chê		
Chz	chôn		
lEf	lề		
ckj	cạn		
nZs	nếp		
dxS	đới		
dma	đuôi		
DqJ	dội		
vya	vy		
dTs	đáy		
h7z	hân		
bRa	bưu		
rtF	rồng		
yoZ	nho		
zhf	ồn		
noZ	no		
kvS	kíp		
mtJ	mộng		
Kez	khe		
yGS	nhiếp		
mzR	mỏng		
kix	kĩ		
nax	nã		
zzZ	ong		
l9j	lật		
lsf	lường		
jKs	giáng		
zla	uyên		
zaj	ạ		
fKA	phun		
vxs	vắc		
xC1	xích		
vDJ	vịt		
Tm9	thỉnh		
KGr	khải		
cUy	cự		
Dks	dán		
qK4	quãng		
dge	đúc		
hWe	hước		
fE1	phế		
lqs	lát		
hGs	hái		
lsx	lưỡng		
l1z	lăn		
cxR	cởi		
vus	vú		
tB3	tẩy		
zpz	ao		
bpu	bưởi		
bez	be		
vnS	vóc		
qP1	quét		
vax	vã		
bri	buồng		
hsX	hoãn		
CDz	châm		
C2j	chặng		
cRu	cửu		
xq1	xát		
t72	tần		
gax	gã		
rvj	rịa		
chf	cồn		
miz	mi		
cBj	cậy		
cge	cúc		
bhf	bồn		
lxs	lắc		
KsZ	khoan		
TD1	thấm		
Ges	ghé		
bra	buông		
yqj	nhạt		
dEs	đế		
Dkz	dan		
v3S	vớt		
xa2	xà		
fd3	phở		
Cry	chuộng		
DMj	dẹp		
v4j	vặt		
CdZ	chiên		
C5j	chậu		
ggy	gục		
gTz	gay		
ddZ	điên		
C9j	chật		
lvi	lùng		
rNj	rực		
xq6	xôi		
Klz	khiêm		
l1j	lặn		
N9s	ngất		
jyJ	giọt		
CMs	chép		
j4j	giặt		
vsj	vượng		
C2z	chăng		
dhz	đôn		
kJj	kẹo		
KMs	khép		
lKs	láng		
kis	kí		
dzJ	đọng		
DGj	dại		
dSj	đạc		
qG1	quái		
lmj	lụt		
d1s	đắn		
RE4	trễ		
czZ	cong		
kEf	kề		
xh0	xôn		
mmw	muỗi		
bfJ	bộc		
DGr	dải		
Nnz	ngưng		
Tq9	thổi		
ldx	lỡ		
tl9	tỏi		
cfs	cáp		
fx6	phơi		
hzJ	họng		
zpf	ào		
xi3	xỉ		
vTe	vứt		
bBs	bấy		
rxs	rắc		
cnJ	cọc		
tjA	tui		
hha	huân		
gSs	gác		
cnS	cóc		
hHr	hẻm		
Nzy	ngựa		
jgS	giếng		
R10	trăn		
nTe	nứt		
tpE	tưới		
Cps	cháo		
nRS	nốt		
tt7	tống		
D0X	dỗ		
Kde	khuất		
lUw	lữ		
mvi	mùng		
cWf	cành		
dme	đuối		
qi0	qui		
sZs	sếp		
l7j	lận		
c5r	cẩu		
KGa	khuê		
v2z	văng		
Khz	khôn		
ltz	lau		
lfS	lốc		
Ksz	khương		
mKy	mụn		
sss	sướng		
qB2	quầy		
ygy	nhục		
qq1	quát		
DGJ	diệp		
Cja	chui		
bDs	bấm		
jkf	giàn		
Coz	chen		
hnS	hóc		
c1s	cắn		
rex	rẽ		
zEz	ê		
ldz	lơ		
RqC	trội		
T01	thắm		
sfs	sáp		
KGs	khái		
DTx	dãy		
lqJ	lội		
ykf	nhàn		
D1j	dặn		
dji	đùi		
dXs	đếm		
mez	me		
KBa	khuya		
yij	nhị		
Tq7	thối		
tK1	táng		
CjS	chiết		
l3j	lặp		
d2s	đắng		
kSZ	kon		
bKi	bùn		
mSF	mòn		
nsz	nương		
coF	cò		
pa0	pa		
mJf	mèo		
lpw	lưỡi		
zyj	ập		
KrS	khoái		
sge	súc		
Ndx	ngỡ		
sms	sút		
bqZ	bôi		
fi2	phì		
RD0	trâm		
dEz	đê		
xi1	xí		
Tg6	thiêng		
hPs	hét		
lfj	lạp		
tQ7	tóm		
xr8	xoài		
rzZ	rong		
WgZ	nghiêng		
tvE	túng		
msf	mường		
tp0	tao		
jks	gián		
def	đè		
K5S	khoác		
tkA	tum		
lCZ	loa		
T31	thắp		
DGz	dai		
dsZ	đoan		
soJ	sọ		
WCj	nghịch		
lJs	léo		
xp2	xào		
lgs	lách		
DqF	dồi		
xo0	xen		
d1j	đặn		
m2s	mắng		
Kpz	khao		
mSs	mác		
to8	tò		
dmS	đính		
CTz	chay		
bir	bỉ		
xi2	xì		
lDy	luộc		
bnS	bóc		
yNs	nhức		
y0s	nhắm		
rpz	rao		
Dkj	dạn		
CJf	chèo		
ysf	nhường		
voZ	vo		
mvs	mía		
cri	cuồng		
bBx	bẫy		
Ctz	chau		
t51	tấu		
sny	sụp		
nfj	nạp		
Cos	chén		
bNS	bóp		
zte	ướt		
dJf	đèo		
Tj1	thám		
Th6	thiêu		
cBs	cấy		
hRS	hốt		
bus	bú		
vgS	viếng		
g5s	gấu		
tWE	tước		
t53	tẩu		
TH2	thèm		
GPs	ghét		
DzZ	dong		
bdz	bơ		
liz	li		
zJz	eo		
xG2	xài		
bts	báu		
x09	xổ		
jtZ	giông		
dhZ	điêu		
lRJ	lột		
kir	kỉ		
hpz	hao		
TC6	thoa		
tzY	tựa		
ySJ	nhọn		
ty1	tấp		
boz	ben		
rps	ráo		
lyS	lót		
dEj	đệ		
m7x	mẫn		
rci	rùa		
bDr	bẩm		
K8Z	khoang		
snz	sưng		
bmS	bính		
kef	kè		
N7f	ngần		
Kkz	khan		
hgj	hạch		
l5f	lầu		
xn0	xưng		
bqj	bạt		
q1U	quyển		
mDz	mâm		
Cvf	chìa		
Cri	chuồng		
Clz	chiêm		
xmA	xuôi		
ti0	ti		
C8S	choáng		
tq1	tát		
b4e	bướu		
Woj	nghẹn		
Cif	chì		
dvy	đụng		
td0	tơ		
bja	bui		
tv0	tia		
qyY	quỵ		
r0J	rộ		
nes	né		
DEz	dê		
TzU	thửa		
bNj	bực		
gBf	gầy		
gGz	gai		
dgy	đục		
dXj	đệm		
rva	rung		
TgY	thục		
zur	ủ		
gBj	gậy		
jSF	giòn		
x00	xăm		
Chs	chốn		
mqF	mồi		
dKa	đun		
N4j	ngặt		
sfi	sườn		
lhX	liễu		
DMs	dép		
q91	quất		
Dez	de		
sWf	sành		
nJz	neo		
zju	ủi		
rfs	ráp		
WjJ	nghiệt		
nWf	nành		
zUe	ứ		
xT0	xay		
rvy	rụng		
nkf	nàn		
Naf	ngà		
gDf	gầm		
Tx7	thới		
ChR	chiểu		
zaf	à		
rWe	rước		
r3S	rớt		
hsJ	hoạn		
clF	còi		
klf	kiềm		
vgj	vạch		
mKJ	mịn		
Tv2	thìa		
vSs	vác		
llX	lõi		
nkr	nản		
yhj	nhộn		
hsS	hoán		
n5z	nâu		
qyo	quỳ		
hsf	hường		
tp3	tảo		
n3s	nắp		
rgs	rách		
tQ6	tom		
nKz	nang		
zqe	ướp		
fW0	phanh		
Tk3	thản		
sDf	sầm		
nxS	nới		
bxS	bới		
KfS	khốc		
tjY	tụi		
vra	vuông		
Cnz	chưng		
baj	bạ		
nkz	nan		
loJ	lọ		
yKJ	nhịn		
dSF	đòn		
sjS	siết		
DJr	dẻo		
WYz	nghênh		
Tl8	thòi		
myj	mập		
KGS	khiếp		
NGf	ngài		
Kir	khỉ		
Rj7	triết		
tC6	toa		
tlo	tuyền		
tmC	tịnh		
R16	trơn		
slR	sỏi		
NoZ	ngo		
n0Z	nô		
z0F	ồ		
qq5	quạt		
y1z	nhăn		
To6	tho		
rKa	run		
NDj	ngậm		
hkz	han		
xe3	xẻ		
vlF	vòi		
TlA	thuyên		
pK6	pin		
h5s	hấu		
cuf	cù		
noJ	nọ		
gqj	gạt		
lKe	lún		
ts6	toan		
rRS	rốt		
hlZ	hoi		
nBs	nấy		
kgZ	kiêng		
Nqj	ngạt		
Dnz	dưng		
rcj	rệt		
rir	rỉ		
ta2	tà		
tm5	tụt		
KhZ	khiêu		
Cra	chuông		
ti1	tí		
yWy	nhược		
lja	lui		
qg1	quách		
bzZ	bong		
bvf	bìa		
mis	mí		
Tm7	thính		
r5z	râu		
Th8	thiều		
mGf	mài		
x11	xắn		
nNs	nức		
xs1	xướng		
d0s	đắm		
TS6	thon		
hps	háo		
zXz	êm		
bax	bã		
TsY	thuột		
Khs	khốn		
v0X	vỗ		
sJj	sẹo		
qSA	quynh		
nps	náo		
nse	nuốt		
r1z	răn		
sKa	sun		
rzF	ròng		
cqZ	côi		
lva	lung		
rKz	rang		
nme	nuối		
vyJ	vọt		
vez	ve		
znS	óc		
bDJ	bịt		
xE7	xoáy		
cke	cúm		
yur	nhủ		
cnz	cưng		
tq8	tồi		
Th1	thốn		
KCR	khoả		
cGf	cài		
DsX	doãn		
joF	giò		
CCs	chích		
q95	quật		
rEx	rễ		
tH0	tem		
lWs	lánh		
hWz	hanh		
bhS	biếu		
Kvs	khía		
l7r	lẩn		
zqj	ạt		
NBz	ngây		
lgZ	liêng		
lcy	lụa		
xC6	xoa		
y5y	nhuộm		
DsZ	doan		
rWr	rảnh		
kiz	ki		
hDS	hít		
gnf	gừng		
N5x	ngẫu		
RU0	trêu		
NoR	ngỏ		
mhS	miếu		
Nze	ngứa		
lvw	lũng		
CnJ	chọc		
yqF	nhồi		
mpa	mươi		
DhX	diễu		
rjy	rụi		
sPs	sét		
mDS	mít		
tz8	tòng		
s5f	sầu		
htZ	hông		
kJz	keo		
ltJ	lộng		
nXz	nêm		
qB1	quấy		
hNs	hức		
Kls	khiếm		
Dif	dì		
ClJ	chọi		
CGr	chải		
vgs	vách		
TvU	thủng		
dKf	đàng		
sQz	sim		
dcw	đũa		
v4s	vắt		
cds	cớ		
cTf	cày		
TR7	thốt		
f23	phẳng		
Dpf	dào		
Rn2	trừng		
yhX	nhiễu		
zrZ	oai		
cpf	cào		
tx5	tặc		
maj	mạ		
zve	úng		
m5j	mậu		
cCy	cuộn		
mdJ	miện		
bos	bén		
vdf	vờ		
z9s	ất		
Kaz	kha		
kex	kẽ		
sjz	sam		
xE0	xê		
nEr	nể		
te1	té		
bva	bung		
RG4	trãi		
hes	hé		
xy1	xấp		
doF	đò		
msz	mương		
duz	đu		
mKF	mìn		
Dqj	dạt		
mCa	muôn		
dhs	đốn		
Cpr	chảo		
vzX	võng		
mdZ	miên		
los	lén		
znz	ưng		
vyw	vỹ		
g4j	gặt		
DDf	dầm		
coJ	cọ		
xe1	xé		
f06	phô		
rax	rã		
njs	nám		
RJ2	trèo		
tD3	tẩm		
lpi	lười		
lWz	lanh		
fk2	phàn		
snf	sừng		
NKf	ngàng		
CJs	chéo		
ynJ	nhọc		
Wox	nghẽn		
lnS	lóc		
yGs	nhái		
vks	ván		
c0X	cỗ		
xDC	xịt		
lJS	loét		
lby	luỵ		
btF	bồng		
nnS	nóc		
lBx	lẫy		
cza	cưa		
n7f	nần		
Gez	ghe		
fS1	phác		
cje	cúi		
fq6	phôi		
lif	lì		
gzs	gốm		
z5r	ẩu		
Tp5	thạo		
dar	đả		
niz	ni		
gKz	gang		
loz	len		
bYz	bênh		
zDf	ầm		
sFs	séc		
Ta2	thà		
myi	mỳ		
tjU	tủi		
Nmy	nguội		
NsJ	ngoạn		
rkj	rạn		
fh6	phiêu		
KjS	khiết		
mhZ	miêu		
Nzu	ngửa		
zgs	ách		
jJz	gieo		
goX	gõ		
zCe	uốn		
naj	nạ		
vPs	vét		
D5x	dẫu		
kQf	kìm		
kPs	két		
hur	hủ		
Rj2	tràm		
tyE	tý		
kEj	kệ		
fp0	phao		
npj	nạo		
xk9	xỉu		
t00	tăm		
q71	quấn		
bce	búa		
s5s	sấu		
spf	sào		
muz	mu		
hoz	hen		
sdf	sờ		
l8X	loãng		
Cof	chèn		
DTz	day		
nSS	nón		
ryj	rập		
dDs	đấm		
zjz	am		
cmj	cụt		
xT7	xốp		
zUa	ư		
lte	lướt		
mjJ	miệt		
cUi	cừ		
Cfj	chạp		
m7j	mận		
gjz	gam		
dGs	đái		
vqZ	vôi		
tq5	tạt		
Cki	chùm		
ldf	lờ		
tT7	tốp		
tbY	tuỵ		
jgF	giềng		
rmi	ruồi		
joR	giỏ		
byJ	bọt		
GEz	ghê		
zlR	ỏi		
jax	giã		
K4s	khắt		
hdZ	hiên		
j2f	giằng		
g7z	gân		
j0X	giỗ		
zKs	áng		
rks	rán		
har	hả		
vKa	vun		
yGz	nhai		
xp1	xáo		
Tl0	thiêm		
rpw	rưỡi		
rDf	rầm		
Ru2	trù		
C3J	chợt		
cuz	cu		
h2z	hăng		
mrw	muỗng		
xp3	xảo		
Def	dè		
dYa	đăk		
xj1	xám		
Nar	ngả		
rqX	rỗi		
rpZ	rơm		
tbU	tuỷ		
Rl7	trói		
yRS	nhốt		
T6U	thuở		
ctz	cau		
vji	vùi		
Ckz	chan		
K9Z	khoanh		
mRS	mốt		
rlZ	roi		
ber	bẻ		
lve	lúng		
nhJ	niệu		
Nks	ngán		
l5r	lẩu		
vva	vung		
zar	ả		
DhF	diều		
zEs	ế		
nSj	nạc		
fa3	phả		
zde	uất		
yKz	nhang		
s0Z	sô		
goZ	go		
fd7	phiến		
vKs	váng		
ylw	nhuyễn		
lRy	lựu		
qVE	quýt		
T50	thâu		
g9j	gật		
lTS	lốp		
D1f	dằn		
Ri4	trĩ		
zSZ	on		
Rk1	trán		
KUu	khử		
fa2	phà		
ryS	rót		
mJs	méo		
NDs	ngấm		
nXs	nếm		
NzS	ngóng		
xk7	xíu		
nHz	nem		
mTe	mứt		
sBs	sấy		
KBS	khoát		
mir	mỉ		
r0R	rổ		
z5s	ấu		
ypf	nhào		
NUy	ngự		
TE2	thề		
zra	uông		
vKy	vụn		
to0	ten		
dpz	đao		
boJ	bọ		
y0R	nhổ		
g0s	gắm		
gbz	gươm		
Nji	ngùi		
Caf	chà		
Rt0	trau		
kHx	kẽm		
lTz	lay		
hmZ	hinh		
sJe	suýt		
mGr	mải		
Rm1	trút		
mQr	mỉm		
n1z	năn		
sne	súp		
xc7	xiếc		
TX2	thềm		
rTz	ray		
CyS	chót		
bDf	bầm		
yPs	nhét		
bzi	bừa		
gyS	gót		
c0J	cộ		
qyU	quỷ		
luz	lu		
mWx	mãnh		
cqS	cối		
mur	mủ		
Ry7	trót		
bTe	bứt		
kMj	kẹp		
nkS	níu		
qe0	que		
tGC	tiệp		
s1s	sắn		
saf	sà		
sWz	sanh		
lCs	lích		
KDz	khâm		
cqJ	cội		
szF	sòng		
jdz	giơ		
sWr	sảnh		
Rx5	trặc		
Ndz	ngơ		
Cyj	chập		
ska	sum		
lks	lán		
cne	cúp		
mMs	mép		
N4s	ngắt		
Cnx	chững		
GYf	ghềnh		
zbz	ươm		
ts9	toản		
d0S	đố		
jgy	giục		
n0J	nộ		
cre	cuống		
qB0	quây		
Nby	nguỵ		
lSZ	lon		
CfS	chốc		
siz	si		
lfy	lượn		
Td8	thiền		
lnf	lừng		
hxS	hới		
bnf	bừng		
TvA	thung		
hjx	hãm		
jKa	giun		
mre	muống		
ti5	tị		
roF	rò		
nyj	nập		
ft8	phồng		
RUE	trứ		
rnz	rưng		
kGS	kiếp		
tS5	tạc		
xWE	xước		
bne	búp		
q73	quẩn		
lle	luyến		
vBx	vẫy		
NUi	ngừ		
CUa	chư		
R09	trổ		
dhR	điểu		
lnr	lửng		
vas	vá		
khZ	kiêu		
cju	củi		
sfj	sạp		
NDx	ngẫm		
CDy	chuộc		
gqJ	gội		
c7s	cấn		
toE	tuýp		
boZ	bo		
nxj	nặc		
kMs	kép		
trA	tuông		
yjf	nhàm		
nlZ	noi		
bJf	bèo		
