# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
dụng	Dvy		
bpr	bảo		
bảo	bpr		
xc4	xã		
xã	xc4		
tD0	tâm		
td0	tâm		
tâm	tD0		
xdE	xuất		
xde	xuất		
xuất	xdE		
tm9	tỉnh		
tỉnh	tm9		
cpZ	cô		
cpz	cô		
cô	cpZ		
nTz	nay		
ntz	nay		
nay	nTz		
TW0	thanh		
tw0	thanh		
thanh	TW0		
bcf	bà		
bà	bcf		
tG2	tài		
tg2	tài		
tài	tG2		
kas	kết		
kết	kas		
tmU	tuổi		
tmu	tuổi		
tuổi	tmU		
cgs	cách		
cách	cgs		
v7x	vẫn		
vẫn	v7x		
Tv0	thu		
tv0	thu		
thu	Tv0		
Kds	khác		
kds	khác		
khác	Kds		
dmF	đình		
dmf	đình		
đình	dmF		
cAf	cầu		
caf	cầu		
cầu	cAf		
t20	tăng		
tăng	t20		
ts8	toàn		
toàn	ts8		
n2z	năng		
năng	n2z		
fs0	phương		
phương	fs0		
fz8	phòng		
phòng	fz8		
Cve	chúng		
cve	chúng		
chúng	Cve		
TB1	thấy		
tb1	thấy		
thấy	TB1		
Rc0	tra		
rc0	tra		
tra	Rc0		
TK1	tháng		
tk1	tháng		
tháng	TK1		
D9Z	doanh		
d9z	doanh		
doanh	D9Z		
jGr	giải		
jgr	giải		
giải	jGr		
c7f	cần		
cần	c7f		
Kgs	khách		
kgs	khách		
khách	Kgs		
Ts0	thương		
ts0	thương		
thương	Ts0		
tSY	tự		
tsy	tự		
tự	tSY		
bkr	bản		
bản	bkr		
Ts2	thường		
ts2	thường		
thường	Ts2		
Cij	chị		
cij	chị		
chị	Cij		
Cza	chưa		
cza	chưa		
chưa	Cza		
zWr	ảnh		
zwr	ảnh		
ảnh	zWr		
NrF	ngoài		
nrf	ngoài		
ngoài	NrF		
tx7	tới		
tới	tx7		
SSr	sở		
ssr	sở		
sở	SSr		
qxA	quy		
qxa	quy		
quy	qxA		
jpz	giao		
giao	jpz		
l1S	lớn		
l1s	lớn		
lớn	l1S		
DdX	diễn		
ddx	diễn		
diễn	DdX		
tp9	tổ		
tổ	tp9		
zxe	ý		
ý	zxe		
z3a	yêu		
yêu	z3a		
ldZ	liên		
ldz	liên		
liên	ldZ		
lNj	lực		
lnj	lực		
lực	lNj		
ff1	pháp		
pháp	ff1		
z1z	ăn		
ăn	z1z		
jkz	gian		
gian	jkz		
ty5	tập		
tập	ty5		
Kvz	khu		
kvz	khu		
khu	Kvz		
bkz	ban		
ban	bkz		
cDy	cuộc		
cdy	cuộc		
cuộc	cDy		
stS	sống		
sts	sống		
sống	stS		
q2E	quyết		
q2e	quyết		
